CleanName,INorEX,label,Method,replicateID,timepoint,nM
glycerol_3_phosphate,EX,20B,AN,B,20,4.684809199
glycerol_3_phosphate,EX,20A,AN,A,20,4.498203436
glycerol_3_phosphate,EX,38B,AN,B,38,9.410701746
glycerol_3_phosphate,EX,38A,AN,A,38,6.997647006
glycerol_3_phosphate,EX,38C,AN,C,38,6.955394988
glycerol_3_phosphate,EX,42C,AN,C,42,6.792832142
glycerol_3_phosphate,EX,42A,AN,A,42,8.773009214
glycerol_3_phosphate,EX,42B,AN,B,42,5.62972548
glycerol_3_phosphate,EX,14A,AN,A,14,4.308971655
glycerol_3_phosphate,EX,14B,AN,B,14,3.759451663
glycerol_3_phosphate,EX,14C,AN,C,14,1.939456761
glycerol_3_phosphate,EX,10B,AN,B,10,3.767642918
glycerol_3_phosphate,EX,10C,AN,C,10,3.985509101
glycerol_3_phosphate,EX,10A,AN,A,10,4.436761775
glycerol_3_phosphate,EX,26C,AN,C,26,2.961532381
glycerol_3_phosphate,EX,26B,AN,B,26,3.981342369
glycerol_3_phosphate,EX,26A,AN,A,26,3.18760401
glycerol_3_phosphate,EX,18B,AN,B,18,3.601347387
glycerol_3_phosphate,EX,18A,AN,A,18,2.42479674
glycerol_3_phosphate,EX,18C,AN,C,18,3.772480303
glycerol_3_phosphate,EX,36A,AN,A,36,7.399828498
glycerol_3_phosphate,EX,36B,AN,B,36,7.9758528
glycerol_3_phosphate,EX,36C,AN,C,36,5.62423277
glycerol_3_phosphate,EX,30A,AN,A,30,7.841950289
glycerol_3_phosphate,EX,30C,AN,C,30,1.706932846
glycerol_3_phosphate,EX,30B,AN,B,30,2.037740856
glycerol_3_phosphate,EX,40B,AN,B,40,7.536893345
glycerol_3_phosphate,EX,40C,AN,C,40,8.101674496
glycerol_3_phosphate,EX,40A,AN,A,40,6.77483342
glycerol_3_phosphate,EX,28B,AN,B,28,3.803188492
glycerol_3_phosphate,EX,28A,AN,A,28,4.696629397
glycerol_3_phosphate,EX,28C,AN,C,28,4.484754545
cysteate,EX,4A,AN,A,4,0.102477568
cysteate,EX,4B,AN,B,4,0.102477568
cysteate,EX,4C,AN,C,4,0.102477568
cysteate,EX,32C,AN,C,32,2.763193778
cysteate,EX,32A,AN,A,32,5.790411425
cysteate,EX,32B,AN,B,32,5.297954144
cysteate,EX,24A,AN,A,24,8.412109661
cysteate,EX,24B,AN,B,24,4.709367057
cysteate,EX,24C,AN,C,24,3.597724815
cysteate,EX,16A,AN,A,16,0.102477568
cysteate,EX,16C,AN,C,16,5.817221618
cysteate,EX,16B,AN,B,16,1.714866978
cysteate,EX,22C,AN,C,22,3.557154765
cysteate,EX,22B,AN,B,22,4.589885004
cysteate,EX,22A,AN,A,22,4.970757467
cysteate,EX,2C,AN,C,2,0.102477568
cysteate,EX,2A,AN,A,2,2.418524301
cysteate,EX,2B,AN,B,2,4.366294096
cysteate,EX,46B,AN,B,46,2.235897197
cysteate,EX,46A,AN,A,46,3.337936435
cysteate,EX,46C,AN,C,46,2.30868233
cysteate,EX,34B,AN,B,34,0.102477568
cysteate,EX,34A,AN,A,34,0.102477568
cysteate,EX,34C,AN,C,34,0.102477568
cysteate,EX,44B,AN,B,44,3.530654917
cysteate,EX,44A,AN,A,44,3.252705991
cysteate,EX,44C,AN,C,44,3.79292598
cysteate,EX,8C,AN,C,8,0.102477568
cysteate,EX,8B,AN,B,8,0.102477568
cysteate,EX,8A,AN,A,8,0.102477568
cysteate,EX,12B,AN,B,12,3.80874006
cysteate,EX,12A,AN,A,12,1.942249496
cysteate,EX,12C,AN,C,12,1.465086022
cysteate,EX,6A,AN,A,6,0.102477568
cysteate,EX,6C,AN,C,6,5.407788505
cysteate,EX,6B,AN,B,6,2.792177206
cysteate,EX,0A,AN,A,0,1.3385872619999999
cysteate,EX,0C,AN,C,0,3.664261265
cysteate,EX,0B,AN,B,0,0.102477568
cysteate,EX,20C,AN,C,20,4.108691458
