ids,growth,status
TK37_RS04860,0.0,optimal
TK37_RS07010,1.0101810363924457,optimal
TK37_RS11920,1.0101810363924495,optimal
TK37_RS10720,-1.2784868446748444e-16,optimal
TK37_RS12285,1.0101810363924573,optimal
TK37_RS15485,1.0101810363924495,optimal
TK37_RS07765,1.0101810363924495,optimal
TK37_RS15565,-6.836481577658588e-16,optimal
TK37_RS16145,-5.484944934474465e-30,optimal
TK37_RS17150,0.0,optimal
TK37_RS03980,1.0101810363924564,optimal
TK37_RS15960,1.010181036392446,optimal
TK37_RS13655,1.0101810363924346,optimal
TK37_RS05930,-6.244794617895876e-18,optimal
TK37_RS13670,1.0101810363924477,optimal
TK37_RS08515,3.1267826893767864e-16,optimal
TK37_RS03905,0.0,optimal
TK37_RS03515,1.0101810363924464,optimal
TK37_RS12720,1.0101810363924453,optimal
TK37_RS03200,1.0101810363924453,optimal
TK37_RS08535,1.0101810363924453,optimal
TK37_RS05780,3.811182413662346e-16,optimal
TK37_RS17070,1.01018103639245,optimal
TK37_RS04430,1.0101810363924453,optimal
TK37_RS13675,1.0101810363924453,optimal
TK37_RS15755,1.0101810363924453,optimal
TK37_RS04780,1.0101810363924453,optimal
TK37_RS17275,-1.0195278359202323e-15,optimal
TK37_RS17220,0.0,optimal
TK37_RS17055,1.01018103639245,optimal
TK37_RS00240,1.3236861362549974e-13,optimal
TK37_RS13935,1.0101810363924495,optimal
TK37_RS08045,1.0101810363924453,optimal
TK37_RS13910,1.010181036392434,optimal
TK37_RS07220,-3.032955566759941e-16,optimal
TK37_RS16130,0.0,optimal
TK37_RS09125,1.0101810363924528,optimal
TK37_RS18885,1.010181036392434,optimal
TK37_RS18115,1.010181036392434,optimal
TK37_RS10950,-6.813534872363631e-17,optimal
TK37_RS15195,1.0101810363924464,optimal
TK37_RS09010,1.010181036392434,optimal
TK37_RS18640,-4.235015768234779e-14,optimal
TK37_RS11065,1.0101810363924444,optimal
TK37_RS19680,1.010181036392434,optimal
TK37_RS07490,-6.813534872363631e-17,optimal
TK37_RS13980,1.0101810363924455,optimal
TK37_RS07485,1.010181036392434,optimal
TK37_RS19140,1.010181036392434,optimal
TK37_RS19135,1.010181036392434,optimal
TK37_RS02775,-6.813534872363631e-17,optimal
TK37_RS00180,1.010181036392449,optimal
TK37_RS00945,-6.813534872363631e-17,optimal
TK37_RS06300,1.010181036392485,optimal
TK37_RS11860,1.0101810363924388,optimal
TK37_RS07445,-7.338937110000832e-16,optimal
TK37_RS19405,0.0,optimal
TK37_RS12245,1.0101810363924482,optimal
TK37_RS14945,1.0101810363924393,optimal
TK37_RS18960,1.0276686059027333e-16,optimal
TK37_RS00230,-4.4493974503187764e-14,optimal
TK37_RS14915,1.0101810363924502,optimal
TK37_RS14160,-7.907214956707887e-15,optimal
TK37_RS14380,1.0101810363924555,optimal
TK37_RS14505,1.0101810363924393,optimal
TK37_RS06740,1.0101810363924393,optimal
