ids,growth,status,essential_in_model,locus_tag_from_mut_lib
TK37_RS03515,1.0101810363924464,optimal,False,MIT1002_02993
TK37_RS12720,1.0101810363924453,optimal,False,MIT1002_02807
TK37_RS03200,1.0101810363924453,optimal,False,MIT1002_03055
TK37_RS08535,1.0101810363924453,optimal,False,MIT1002_00168
TK37_RS05780,3.811182413662346e-16,optimal,True,MIT1002_02743
TK37_RS17070,1.01018103639245,optimal,False,MIT1002_01748
TK37_RS04430,1.0101810363924453,optimal,False,MIT1002_02014
TK37_RS13675,1.0101810363924453,optimal,False,MIT1002_02131
TK37_RS15755,1.0101810363924453,optimal,False,MIT1002_02096
TK37_RS04780,1.0101810363924453,optimal,False,MIT1002_00017
TK37_RS17275,-1.0195278359202325e-15,optimal,True,MIT1002_03761
TK37_RS17220,0.0,optimal,True,MIT1002_03750
TK37_RS17055,1.01018103639245,optimal,False,MIT1002_01745
TK37_RS00240,1.3236861362549976e-13,optimal,True,MIT1002_03959
TK37_RS13935,1.0101810363924495,optimal,False,MIT1002_03188
TK37_RS08045,1.0101810363924453,optimal,False,MIT1002_03516
TK37_RS13910,1.010181036392434,optimal,False,MIT1002_03183
TK37_RS07220,-3.032955566759941e-16,optimal,True,MIT1002_01430
TK37_RS16130,0.0,optimal,True,MIT1002_02636
TK37_RS09125,1.0101810363924528,optimal,False,MIT1002_02861
TK37_RS18885,1.010181036392434,optimal,False,
TK37_RS18115,1.010181036392434,optimal,False,MIT1002_02222
TK37_RS10950,-6.81353487236363e-17,optimal,True,MIT1002_00102
TK37_RS15195,1.0101810363924464,optimal,False,MIT1002_03304
TK37_RS09010,1.010181036392434,optimal,False,MIT1002_02885
TK37_RS18640,-4.2350157682347796e-14,optimal,True,MIT1002_02269
TK37_RS11065,1.0101810363924444,optimal,False,MIT1002_02394
TK37_RS19680,1.010181036392434,optimal,False,MIT1002_00194
TK37_RS07490,-6.81353487236363e-17,optimal,True,MIT1002_02491
TK37_RS13980,1.0101810363924455,optimal,False,MIT1002_03197
TK37_RS07485,1.010181036392434,optimal,False,MIT1002_02492
TK37_RS19140,1.010181036392434,optimal,False,MIT1002_02431
TK37_RS19135,1.010181036392434,optimal,False,MIT1002_02432
TK37_RS02775,-6.81353487236363e-17,optimal,True,MIT1002_01008
TK37_RS00180,1.010181036392449,optimal,False,MIT1002_03972
TK37_RS00945,-6.81353487236363e-17,optimal,True,MIT1002_03818
TK37_RS06300,1.010181036392485,optimal,False,MIT1002_01785
TK37_RS11860,1.0101810363924388,optimal,False,
TK37_RS07445,-7.338937110000832e-16,optimal,True,MIT1002_02500
TK37_RS19405,0.0,optimal,True,MIT1002_03670
TK37_RS12245,1.0101810363924482,optimal,False,MIT1002_02924
TK37_RS14945,1.0101810363924393,optimal,False,MIT1002_04028
TK37_RS18960,1.0276686059027331e-16,optimal,True,MIT1002_03693
TK37_RS00230,-4.449397450318776e-14,optimal,True,MIT1002_03961
TK37_RS14915,1.0101810363924502,optimal,False,MIT1002_04034
TK37_RS14160,-7.907214956707887e-15,optimal,True,MIT1002_00504
TK37_RS14380,1.0101810363924555,optimal,False,MIT1002_00514
TK37_RS14505,1.0101810363924393,optimal,False,MIT1002_00539
TK37_RS06740,1.0101810363924393,optimal,False,MIT1002_03616
TK37_RS08300,6.2464605756048e-16,optimal,True,MIT1002_00737
TK37_RS04050,0.0,optimal,True,MIT1002_00862
TK37_RS04930,0.4603218273606335,optimal,False,MIT1002_04119
TK37_RS09465,1.0101810363924428,optimal,False,MIT1002_02295
TK37_RS14370,1.0101810363924617,optimal,False,MIT1002_00461
TK37_RS14910,1.0101810363924617,optimal,False,MIT1002_04035
TK37_RS15740,1.0101810363924617,optimal,False,MIT1002_02099
TK37_RS15510,1.0101810363924617,optimal,False,MIT1002_00404
TK37_RS05895,-9.232599561625758e-13,optimal,True,MIT1002_02720
TK37_RS06665,3.4110028549533967e-16,optimal,True,MIT1002_03601
TK37_RS12130,0.0,optimal,True,MIT1002_01922
TK37_RS18480,-1.2455422090580174e-14,optimal,True,MIT1002_02779
TK37_RS11950,1.0101810363924428,optimal,False,MIT1002_01883
TK37_RS04235,1.0101810363924617,optimal,False,MIT1002_01975
TK37_RS18055,1.0101810363924617,optimal,False,MIT1002_02234
